Nomor,Kabupaten,Latitude,Longitude,Status,Dimensi,File
KERINCI-SIULAK-MUKAI TINGGI-001,KERINCI,-1.951342,101.349734,RESOLUSI RENDAH,658x878,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KERINCI-SIULAK-MUKAI TINGGI-001.jpg
KERINCI-SIULAK-MUKAI TINGGI-002,KERINCI,-1.951272,101.34843,RESOLUSI RENDAH,658x878,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KERINCI-SIULAK-MUKAI TINGGI-002.jpg
KERINCI-SIULAK-MUKAI TINGGI-003,KERINCI,-1.950214,101.350547,RESOLUSI RENDAH,658x878,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KERINCI-SIULAK-MUKAI TINGGI-003.jpg
KERINCI-SIULAK-MUKAI TINGGI-004,KERINCI,-1.949663,101.348821,RESOLUSI RENDAH,658x878,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KERINCI-SIULAK-MUKAI TINGGI-004.jpg
KERINCI-SIULAK-TALANG TINGGI-001,KERINCI,-1.946661,101.351218,RESOLUSI RENDAH,658x878,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KERINCI-SIULAK-TALANG TINGGI-001.jpg
KOTA JAMBI-KOTA BARU-KENALI BESAR-006,KOTA JAMBI,-1.630748,103.542243,RESOLUSI RENDAH,436x582,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KOTA JAMBI-KOTA BARU-KENALI BESAR-006.jpg
KOTA JAMBI-KOTA BARU-KENALI BESAR-007,KOTA JAMBI,-1.630238,103.542318,RESOLUSI RENDAH,436x582,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KOTA JAMBI-KOTA BARU-KENALI BESAR-007.jpg
KOTA JAMBI-KOTA BARU-KENALI BESAR-008,KOTA JAMBI,-1.631125,103.542007,RESOLUSI RENDAH,436x582,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KOTA JAMBI-KOTA BARU-KENALI BESAR-008.jpg
KOTA JAMBI-KOTA BARU-KENALI BESAR-009,KOTA JAMBI,-1.631492,103.542006,RESOLUSI RENDAH,436x582,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KOTA JAMBI-KOTA BARU-KENALI BESAR-009.jpg
KOTA JAMBI-KOTA BARU-RAWA SARI-001,KOTA JAMBI,-1.620498,103.568173,RESOLUSI RENDAH,436x582,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KOTA JAMBI-KOTA BARU-RAWA SARI-001.jpg
KOTA JAMBI-KOTA BARU-RAWA SARI-002,KOTA JAMBI,-1.620695,103.56845,RESOLUSI RENDAH,436x582,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KOTA JAMBI-KOTA BARU-RAWA SARI-002.jpg
KOTA JAMBI-KOTA BARU-RAWA SARI-003,KOTA JAMBI,-1.622755,103.568193,RESOLUSI RENDAH,436x582,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KOTA JAMBI-KOTA BARU-RAWA SARI-003.jpg
KOTA JAMBI-KOTA BARU-RAWA SARI-004,KOTA JAMBI,-1.62358,103.568305,RESOLUSI RENDAH,436x582,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KOTA JAMBI-KOTA BARU-RAWA SARI-004.jpg
KOTA JAMBI-KOTA BARU-RAWA SARI-005,KOTA JAMBI,-1.624077,103.568467,RESOLUSI RENDAH,436x582,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KOTA JAMBI-KOTA BARU-RAWA SARI-005.jpg
KOTA JAMBI-KOTA BARU-RAWA SARI-006,KOTA JAMBI,-1.624435,103.567632,RESOLUSI RENDAH,436x582,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KOTA JAMBI-KOTA BARU-RAWA SARI-006.jpg
KOTA JAMBI-KOTA BARU-RAWA SARI-007,KOTA JAMBI,-1.624822,103.56707,RESOLUSI RENDAH,436x582,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KOTA JAMBI-KOTA BARU-RAWA SARI-007.jpg
KOTA JAMBI-KOTA BARU-RAWA SARI-008,KOTA JAMBI,-1.62167,103.567165,RESOLUSI RENDAH,436x582,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KOTA JAMBI-KOTA BARU-RAWA SARI-008.jpg
