No;Jarak (m);Pita;Nomor A;Nomor B;Kabupaten;Kecamatan;Desa/Kelurahan;Lon A;Lat A;Lon B;Lat B;Tanggal A;Tanggal B;Pengusul;Foto A;Foto B;Foto Identik;Status Koordinat;Keputusan;Catatan Petugas
65;36.5;30-50 m;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-002;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-013;KOTA JAMBI;DANAU TELUK;TANJUNG RADEN;103.58651;-1.5849;103.586622;-1.58521;13/05/2026;26/05/2026;Gubernur Jambi;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-002.jpg;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-013.jpg;tidak;kedua koordinat sah;;
66;37.7;30-50 m;KOTA JAMBI-KOTA BARU-RAWA SARI-001;KOTA JAMBI-KOTA BARU-RAWA SARI-002;KOTA JAMBI;KOTA BARU;RAWA SARI;103.568173;-1.620498;103.56845;-1.620695;26/06/2026;26/06/2026;Gubernur Jambi;KOTA JAMBI-KOTA BARU-RAWA SARI-001.jpg;KOTA JAMBI-KOTA BARU-RAWA SARI-002.jpg;tidak;kedua koordinat sah;;
67;37.9;30-50 m;KERINCI-GUNUNG KERINCI-SIULAK DERAS MUDIK-001;KERINCI-GUNUNG KERINCI-SIULAK DERAS MUDIK-002;KERINCI;GUNUNG KERINCI;SIULAK DERAS MUDIK;101.30026;-1.89648;101.29992;-1.89646;11/06/2026;11/06/2026;Arwiyanto, S.E.;KERINCI-GUNUNG KERINCI-SIULAK DERAS MUDIK-001.jpg;KERINCI-GUNUNG KERINCI-SIULAK DERAS MUDIK-002.jpg;tidak;kedua koordinat sah;;
68;40.1;30-50 m;MERANGIN-TIANG PUMPUNG-SEKANCING-019;MERANGIN-TIANG PUMPUNG-SEKANCING-020;MERANGIN;TIANG PUMPUNG;SEKANCING;102.185288;-2.256433;102.185517;-2.256713;28/06/2026;28/06/2026;Gubernur Jambi;MERANGIN-TIANG PUMPUNG-SEKANCING-019.jpg;MERANGIN-TIANG PUMPUNG-SEKANCING-020.jpg;tidak;kedua koordinat sah;;
69;40.3;30-50 m;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-001;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-007;KOTA JAMBI;DANAU TELUK;TANJUNG RADEN;103.58653;-1.58544;103.586325;-1.58514;13/05/2026;26/05/2026;Gubernur Jambi;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-001.jpg;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-007.jpg;tidak;kedua koordinat sah;;
70;40.6;30-50 m;KOTA JAMBI-KOTA BARU-KENALI BESAR-008;KOTA JAMBI-KOTA BARU-KENALI BESAR-009;KOTA JAMBI;KOTA BARU;KENALI BESAR;103.542007;-1.631125;103.542006;-1.631492;26/06/2026;26/06/2026;Gubernur Jambi;KOTA JAMBI-KOTA BARU-KENALI BESAR-008.jpg;KOTA JAMBI-KOTA BARU-KENALI BESAR-009.jpg;tidak;kedua koordinat sah;;
71;40.7;30-50 m;TEBO-MUARA TABIR-EMBACANG GEDANG-003;TEBO-MUARA TABIR-EMBACANG GEDANG-005;TEBO;MUARA TABIR;EMBACANG GEDANG;102.51943;-1.6498;102.519337;-1.650156;03/06/2026;03/06/2026;Mazlan, S.Kom., M.E.;TEBO-MUARA TABIR-EMBACANG GEDANG-003.jpg;TEBO-MUARA TABIR-EMBACANG GEDANG-005.jpg;tidak;kedua koordinat sah;;
72;41.4;30-50 m;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-007;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-008;KOTA JAMBI;DANAU TELUK;TANJUNG RADEN;103.586325;-1.58514;103.586269;-1.58551;26/05/2026;26/05/2026;Gubernur Jambi;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-007.jpg;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-008.jpg;tidak;kedua koordinat sah;;
73;41.6;30-50 m;MERANGIN-TIANG PUMPUNG-SEKANCING-001;MERANGIN-TIANG PUMPUNG-SEKANCING-002;MERANGIN;TIANG PUMPUNG;SEKANCING;102.187706;-2.255436;102.187755;-2.255063;28/06/2026;28/06/2026;Gubernur Jambi;MERANGIN-TIANG PUMPUNG-SEKANCING-001.jpg;MERANGIN-TIANG PUMPUNG-SEKANCING-002.jpg;tidak;kedua koordinat sah;;
74;41.7;30-50 m;KOTA JAMBI-JAMBI TIMUR-KASANG JAYA-005;KOTA JAMBI-JAMBI TIMUR-KASANG JAYA-006;KOTA JAMBI;JAMBI TIMUR;KASANG JAYA;103.6307;-1.58789;103.63046;-1.5876;13/05/2026;13/05/2026;Putra Absor Hasibuan, S.H.;KOTA JAMBI-JAMBI TIMUR-KASANG JAYA-005.jpg;KOTA JAMBI-JAMBI TIMUR-KASANG JAYA-006.jpg;tidak;salah satu menunggu ukur ulang;;
75;41.7;30-50 m;KOTA JAMBI-JAMBI TIMUR-KASANG JAYA-006;KOTA JAMBI-JAMBI TIMUR-KASANG JAYA-007;KOTA JAMBI;JAMBI TIMUR;KASANG JAYA;103.63046;-1.5876;103.6307;-1.58789;13/05/2026;13/05/2026;Putra Absor Hasibuan, S.H.;KOTA JAMBI-JAMBI TIMUR-KASANG JAYA-006.jpg;KOTA JAMBI-JAMBI TIMUR-KASANG JAYA-007.jpg;tidak;salah satu menunggu ukur ulang;;
76;41.8;30-50 m;TANJUNG JABUNG TIMUR-MUARA SABAK TIMUR-LAMBUR I-001;TANJUNG JABUNG TIMUR-MUARA SABAK TIMUR-LAMBUR I-002;TANJUNG JABUNG TIMUR;MUARA SABAK TIMUR;LAMBUR I;103.97462;-1.11112;103.97482;-1.1108;03/08/2026;03/08/2026;Yudhi (NasDem);TANJUNG JABUNG TIMUR-MUARA SABAK TIMUR-LAMBUR I-001.jpg;TANJUNG JABUNG TIMUR-MUARA SABAK TIMUR-LAMBUR I-002.jpg;tidak;kedua koordinat sah;;
77;42.4;30-50 m;TEBO-TEBO TENGAH-BEDARO RAMPAK-001;TEBO-TEBO TENGAH-BEDARO RAMPAK-004;TEBO;TEBO TENGAH;BEDARO RAMPAK;102.44415;-1.46117;102.4442;-1.46155;12/02/2026;12/02/2026;Eka Majid;TEBO-TEBO TENGAH-BEDARO RAMPAK-001.jpg;TEBO-TEBO TENGAH-BEDARO RAMPAK-004.jpg;tidak;kedua koordinat sah;;
78;42.7;30-50 m;MUARO BUNGO-SEPENGGAL LINTAS-LUBUK LANDAI-001;MUARO BUNGO-SEPENGGAL LINTAS-LUBUK LANDAI-003;MUARO BUNGO;SEPENGGAL LINTAS;LUBUK LANDAI;101.953327;-1.401249;101.95341;-1.400872;12/02/2026;12/02/2026;Hambali;MUARO BUNGO-SEPENGGAL LINTAS-LUBUK LANDAI-001.jpg;MUARO BUNGO-SEPENGGAL LINTAS-LUBUK LANDAI-003.jpg;tidak;kedua koordinat sah;;
