No;Jarak (m);Pita;Nomor A;Nomor B;Kabupaten;Kecamatan;Desa/Kelurahan;Lon A;Lat A;Lon B;Lat B;Tanggal A;Tanggal B;Pengusul;Foto A;Foto B;Foto Identik;Status Koordinat;Keputusan;Catatan Petugas
1;0.9;<5 m;MUARO BUNGO-SEPENGGAL LINTAS-LUBUK LANDAI-002;MUARO BUNGO-SEPENGGAL LINTAS-LUBUK LANDAI-003;MUARO BUNGO;SEPENGGAL LINTAS;LUBUK LANDAI;101.953416;-1.400867;101.95341;-1.400872;12/02/2026;12/02/2026;Hambali;MUARO BUNGO-SEPENGGAL LINTAS-LUBUK LANDAI-002.jpg;MUARO BUNGO-SEPENGGAL LINTAS-LUBUK LANDAI-003.jpg;tidak;kedua koordinat sah;;
2;1.6;<5 m;KERINCI-SIULAK-TEBING TINGGI-001;KERINCI-SIULAK-TEBING TINGGI-002;KERINCI;SIULAK;TEBING TINGGI;101.34692;-1.95116;101.34693;-1.95115;11/06/2026;11/06/2026;Bupati Kerinci;KERINCI-SIULAK-TEBING TINGGI-001.jpg;KERINCI-SIULAK-TEBING TINGGI-002.jpg;tidak;kedua koordinat sah;;
3;3.6;<5 m;TEBO-MUARA TABIR-PINTAS TUO-001;TEBO-MUARA TABIR-PINTAS TUO-002;TEBO;MUARA TABIR;PINTAS TUO;102.56526;-1.6412;102.565292;-1.641196;03/06/2026;03/06/2026;Mazlan, S.Kom., M.E.;TEBO-MUARA TABIR-PINTAS TUO-001.jpg;TEBO-MUARA TABIR-PINTAS TUO-002.jpg;tidak;kedua koordinat sah;;
4;4.8;<5 m;SAROLANGUN-BATANG ASAI-BATU EMPANG-005;SAROLANGUN-BATANG ASAI-BATU EMPANG-007;SAROLANGUN;BATANG ASAI;BATU EMPANG;102.23543;-2.627897;102.235392;-2.627876;28/02/2026;28/02/2026;Gubernur Jambi;SAROLANGUN-BATANG ASAI-BATU EMPANG-005.jpg;SAROLANGUN-BATANG ASAI-BATU EMPANG-007.jpg;tidak;salah satu menunggu ukur ulang;;
5;4.8;<5 m;SAROLANGUN-BATANG ASAI-BATU EMPANG-006;SAROLANGUN-BATANG ASAI-BATU EMPANG-007;SAROLANGUN;BATANG ASAI;BATU EMPANG;102.23543;-2.627897;102.235392;-2.627876;28/02/2026;28/02/2026;Gubernur Jambi;SAROLANGUN-BATANG ASAI-BATU EMPANG-006.jpg;SAROLANGUN-BATANG ASAI-BATU EMPANG-007.jpg;tidak;kedua koordinat sah;;
6;9.5;5-10 m;TANJUNG JABUNG TIMUR-MUARA SABAK TIMUR-MUARA SABAK ILIR-003;TANJUNG JABUNG TIMUR-MUARA SABAK TIMUR-MUARA SABAK ILIR-004;TANJUNG JABUNG TIMUR;MUARA SABAK TIMUR;MUARA SABAK ILIR;103.88408;-1.12497;103.88416;-1.12494;03/08/2026;03/08/2026;Yudhi (NasDem);TANJUNG JABUNG TIMUR-MUARA SABAK TIMUR-MUARA SABAK ILIR-003.jpg;TANJUNG JABUNG TIMUR-MUARA SABAK TIMUR-MUARA SABAK ILIR-004.jpg;tidak;kedua koordinat sah;;
7;9.7;5-10 m;MERANGIN-TIANG PUMPUNG-SEKANCING-020;MERANGIN-TIANG PUMPUNG-SEKANCING-029;MERANGIN;TIANG PUMPUNG;SEKANCING;102.185517;-2.256713;102.185592;-2.256757;28/06/2026;29/06/2026;Gubernur Jambi;MERANGIN-TIANG PUMPUNG-SEKANCING-020.jpg;MERANGIN-TIANG PUMPUNG-SEKANCING-029.jpg;tidak;kedua koordinat sah;;
8;9.9;5-10 m;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-001;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-003;KOTA JAMBI;DANAU TELUK;TANJUNG RADEN;103.58653;-1.58544;103.58645;-1.5854;13/05/2026;13/05/2026;Gubernur Jambi;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-001.jpg;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-003.jpg;tidak;kedua koordinat sah;;
9;10.0;10-20 m;TEBO-MUARA TABIR-EMBACANG GEDANG-005;TEBO-MUARA TABIR-EMBACANG GEDANG-006;TEBO;MUARA TABIR;EMBACANG GEDANG;102.519337;-1.650156;102.519275;-1.650222;03/06/2026;03/06/2026;Mazlan, S.Kom., M.E.;TEBO-MUARA TABIR-EMBACANG GEDANG-005.jpg;TEBO-MUARA TABIR-EMBACANG GEDANG-006.jpg;tidak;kedua koordinat sah;;
10;10.0;10-20 m;TEBO-MUARA TABIR-EMBACANG GEDANG-005;TEBO-MUARA TABIR-EMBACANG GEDANG-007;TEBO;MUARA TABIR;EMBACANG GEDANG;102.519337;-1.650156;102.519275;-1.650222;03/06/2026;03/06/2026;Mazlan, S.Kom., M.E.;TEBO-MUARA TABIR-EMBACANG GEDANG-005.jpg;TEBO-MUARA TABIR-EMBACANG GEDANG-007.jpg;tidak;salah satu menunggu ukur ulang;;
11;10.0;10-20 m;TEBO-MUARA TABIR-EMBACANG GEDANG-005;TEBO-MUARA TABIR-EMBACANG GEDANG-008;TEBO;MUARA TABIR;EMBACANG GEDANG;102.519337;-1.650156;102.519275;-1.650222;03/06/2026;03/06/2026;Mazlan, S.Kom., M.E.;TEBO-MUARA TABIR-EMBACANG GEDANG-005.jpg;TEBO-MUARA TABIR-EMBACANG GEDANG-008.jpg;tidak;salah satu menunggu ukur ulang;;
12;10.0;10-20 m;TEBO-MUARA TABIR-EMBACANG GEDANG-005;TEBO-MUARA TABIR-EMBACANG GEDANG-009;TEBO;MUARA TABIR;EMBACANG GEDANG;102.519337;-1.650156;102.519275;-1.650222;03/06/2026;03/06/2026;Mazlan, S.Kom., M.E.;TEBO-MUARA TABIR-EMBACANG GEDANG-005.jpg;TEBO-MUARA TABIR-EMBACANG GEDANG-009.jpg;tidak;salah satu menunggu ukur ulang;;
13;10.0;10-20 m;TEBO-MUARA TABIR-EMBACANG GEDANG-005;TEBO-MUARA TABIR-EMBACANG GEDANG-010;TEBO;MUARA TABIR;EMBACANG GEDANG;102.519337;-1.650156;102.519275;-1.650222;03/06/2026;03/06/2026;Mazlan, S.Kom., M.E.;TEBO-MUARA TABIR-EMBACANG GEDANG-005.jpg;TEBO-MUARA TABIR-EMBACANG GEDANG-010.jpg;tidak;salah satu menunggu ukur ulang;;
14;10.1;10-20 m;TEBO-MUARA TABIR-EMBACANG GEDANG-013;TEBO-MUARA TABIR-EMBACANG GEDANG-014;TEBO;MUARA TABIR;EMBACANG GEDANG;102.51655;-1.64993;102.51646;-1.64994;03/06/2026;03/06/2026;Mazlan, S.Kom., M.E.;TEBO-MUARA TABIR-EMBACANG GEDANG-013.jpg;TEBO-MUARA TABIR-EMBACANG GEDANG-014.jpg;tidak;kedua koordinat sah;;
15;10.1;10-20 m;TEBO-RIMBO ILIR-SEPAKAT BERSATU-003;TEBO-RIMBO ILIR-SEPAKAT BERSATU-004;TEBO;RIMBO ILIR;SEPAKAT BERSATU;102.18799;-1.3853;102.18808;-1.38529;12/02/2026;12/02/2026;Eka Majid;TEBO-RIMBO ILIR-SEPAKAT BERSATU-003.jpg;TEBO-RIMBO ILIR-SEPAKAT BERSATU-004.jpg;tidak;kedua koordinat sah;;
16;10.2;10-20 m;TANJUNG JABUNG BARAT-BATANG ASAM-DUSUN KEBUN-002;TANJUNG JABUNG BARAT-BATANG ASAM-DUSUN KEBUN-001;TANJUNG JABUNG BARAT;BATANG ASAM;DUSUN KEBUN;102.96432;-1.0674;102.96438;-1.06733;04/03/2026;04/03/2026;Ahmad Jahfar;TANJUNG JABUNG BARAT-BATANG ASAM-DUSUN KEBUN-002.jpg;TANJUNG JABUNG BARAT-BATANG ASAM-DUSUN KEBUN-001.jpg;tidak;kedua koordinat sah;;
17;10.9;10-20 m;KOTA JAMBI-JAMBI TIMUR-TANJUNG PINANG-005;KOTA JAMBI-JAMBI TIMUR-TANJUNG PINANG-006;KOTA JAMBI;JAMBI TIMUR;TANJUNG PINANG;103.63077;-1.59057;103.63073;-1.59048;13/05/2026;13/05/2026;Putra Absor Hasibuan, S.H.;KOTA JAMBI-JAMBI TIMUR-TANJUNG PINANG-005.jpg;KOTA JAMBI-JAMBI TIMUR-TANJUNG PINANG-006.jpg;tidak;salah satu menunggu ukur ulang;;
18;10.9;10-20 m;KOTA JAMBI-JAMBI TIMUR-TANJUNG PINANG-004;KOTA JAMBI-JAMBI TIMUR-TANJUNG PINANG-005;KOTA JAMBI;JAMBI TIMUR;TANJUNG PINANG;103.63073;-1.59048;103.63077;-1.59057;13/05/2026;13/05/2026;Putra Absor Hasibuan, S.H.;KOTA JAMBI-JAMBI TIMUR-TANJUNG PINANG-004.jpg;KOTA JAMBI-JAMBI TIMUR-TANJUNG PINANG-005.jpg;tidak;salah satu menunggu ukur ulang;;
19;10.9;10-20 m;TEBO-MUARA TABIR-EMBACANG GEDANG-001;TEBO-MUARA TABIR-EMBACANG GEDANG-002;TEBO;MUARA TABIR;EMBACANG GEDANG;102.5195;-1.64932;102.51941;-1.64928;03/06/2026;03/06/2026;Mazlan, S.Kom., M.E.;TEBO-MUARA TABIR-EMBACANG GEDANG-001.jpg;TEBO-MUARA TABIR-EMBACANG GEDANG-002.jpg;tidak;kedua koordinat sah;;
20;13.4;10-20 m;KOTA JAMBI-KOTA BARU-RAWA SARI-011;KOTA JAMBI-KOTA BARU-RAWA SARI-012;KOTA JAMBI;KOTA BARU;RAWA SARI;103.56784;-1.62021;103.56772;-1.6202;25/06/2026;25/06/2026;Gubernur Jambi;KOTA JAMBI-KOTA BARU-RAWA SARI-011.png;KOTA JAMBI-KOTA BARU-RAWA SARI-012.png;tidak;kedua koordinat sah;;
21;14.2;10-20 m;KERINCI-SIULAK MUKAI-SENIMPIK-003;KERINCI-SIULAK MUKAI-SENIMPIK-004;KERINCI;SIULAK MUKAI;SENIMPIK;101.34333;-1.9502;101.34325;-1.9501;11/06/2026;11/06/2026;Bupati Kerinci;KERINCI-SIULAK MUKAI-SENIMPIK-003.jpg;KERINCI-SIULAK MUKAI-SENIMPIK-004.jpg;tidak;kedua koordinat sah;;
22;14.5;10-20 m;KOTA JAMBI-KOTA BARU-SIMPANG III SIPIN-001;KOTA JAMBI-KOTA BARU-SIMPANG III SIPIN-002;KOTA JAMBI;KOTA BARU;SIMPANG III SIPIN;103.58706;-1.63328;103.58693;-1.63329;14/05/2026;14/05/2026;Ir. Daulat Sitorus;KOTA JAMBI-KOTA BARU-SIMPANG III SIPIN-001.jpg;KOTA JAMBI-KOTA BARU-SIMPANG III SIPIN-002.jpg;tidak;kedua koordinat sah;;
23;15.1;10-20 m;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-006;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-013;KOTA JAMBI;DANAU TELUK;TANJUNG RADEN;103.58649;-1.58518;103.586622;-1.58521;13/05/2026;26/05/2026;Gubernur Jambi;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-006.jpg;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-013.jpg;tidak;kedua koordinat sah;;
24;17.3;10-20 m;KOTA JAMBI-JAMBI TIMUR-KASANG JAYA-002;KOTA JAMBI-JAMBI TIMUR-KASANG JAYA-003;KOTA JAMBI;JAMBI TIMUR;KASANG JAYA;103.63131;-1.58651;103.63146;-1.58655;13/05/2026;13/05/2026;Putra Absor Hasibuan, S.H.;KOTA JAMBI-JAMBI TIMUR-KASANG JAYA-002.jpg;KOTA JAMBI-JAMBI TIMUR-KASANG JAYA-003.jpg;tidak;kedua koordinat sah;;
25;18.9;10-20 m;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-006;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-007;KOTA JAMBI;DANAU TELUK;TANJUNG RADEN;103.58649;-1.58518;103.586325;-1.58514;13/05/2026;26/05/2026;Gubernur Jambi;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-006.jpg;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-007.jpg;tidak;kedua koordinat sah;;
26;19.1;10-20 m;TEBO-MUARA TABIR-EMBACANG GEDANG-003;TEBO-MUARA TABIR-EMBACANG GEDANG-004;TEBO;MUARA TABIR;EMBACANG GEDANG;102.51943;-1.6498;102.51929;-1.6499;03/06/2026;03/06/2026;Mazlan, S.Kom., M.E.;TEBO-MUARA TABIR-EMBACANG GEDANG-003.jpg;TEBO-MUARA TABIR-EMBACANG GEDANG-004.jpg;tidak;kedua koordinat sah;;
27;19.9;10-20 m;KOTA JAMBI-JAMBI TIMUR-TANJUNG PINANG-004;KOTA JAMBI-JAMBI TIMUR-TANJUNG PINANG-007;KOTA JAMBI;JAMBI TIMUR;TANJUNG PINANG;103.63073;-1.59048;103.63074;-1.5903;13/05/2026;13/05/2026;Putra Absor Hasibuan, S.H.;KOTA JAMBI-JAMBI TIMUR-TANJUNG PINANG-004.jpg;KOTA JAMBI-JAMBI TIMUR-TANJUNG PINANG-007.jpg;tidak;salah satu menunggu ukur ulang;;
28;19.9;10-20 m;KOTA JAMBI-JAMBI TIMUR-TANJUNG PINANG-006;KOTA JAMBI-JAMBI TIMUR-TANJUNG PINANG-007;KOTA JAMBI;JAMBI TIMUR;TANJUNG PINANG;103.63073;-1.59048;103.63074;-1.5903;13/05/2026;13/05/2026;Putra Absor Hasibuan, S.H.;KOTA JAMBI-JAMBI TIMUR-TANJUNG PINANG-006.jpg;KOTA JAMBI-JAMBI TIMUR-TANJUNG PINANG-007.jpg;tidak;salah satu menunggu ukur ulang;;
29;20.4;20-30 m;MERANGIN-TIANG PUMPUNG-SEKANCING-015;MERANGIN-TIANG PUMPUNG-SEKANCING-016;MERANGIN;TIANG PUMPUNG;SEKANCING;102.18659;-2.256035;102.18656;-2.256217;28/06/2026;28/06/2026;Gubernur Jambi;MERANGIN-TIANG PUMPUNG-SEKANCING-015.jpg;MERANGIN-TIANG PUMPUNG-SEKANCING-016.jpg;tidak;kedua koordinat sah;;
30;21.6;20-30 m;KOTA JAMBI-TELANAIPURA-TELANAIPURA-003;KOTA JAMBI-TELANAIPURA-TELANAIPURA-004;KOTA JAMBI;TELANAIPURA;TELANAIPURA;103.57683;-1.60463;103.57667;-1.60474;26/06/2026;26/06/2026;Gubernur Jambi;KOTA JAMBI-TELANAIPURA-TELANAIPURA-003.png;KOTA JAMBI-TELANAIPURA-TELANAIPURA-004.png;tidak;kedua koordinat sah;;
31;23.5;20-30 m;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-003;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-008;KOTA JAMBI;DANAU TELUK;TANJUNG RADEN;103.58645;-1.5854;103.586269;-1.58551;13/05/2026;26/05/2026;Gubernur Jambi;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-003.jpg;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-008.jpg;tidak;kedua koordinat sah;;
32;23.7;20-30 m;SAROLANGUN-BATANG ASAI-BATU EMPANG-004;SAROLANGUN-BATANG ASAI-BATU EMPANG-007;SAROLANGUN;BATANG ASAI;BATU EMPANG;102.235267;-2.62805;102.235392;-2.627876;28/02/2026;28/02/2026;Gubernur Jambi;SAROLANGUN-BATANG ASAI-BATU EMPANG-004.jpg;SAROLANGUN-BATANG ASAI-BATU EMPANG-007.jpg;tidak;kedua koordinat sah;;
33;24.4;20-30 m;MERANGIN-PAMENANG-PAMENANG-005;MERANGIN-PAMENANG-PAMENANG-007;MERANGIN;PAMENANG;PAMENANG;102.51771;-2.11819;102.51773;-2.11797;27/02/2026;27/02/2026;Buya Syaparudin;MERANGIN-PAMENANG-PAMENANG-005.jpg;MERANGIN-PAMENANG-PAMENANG-007.jpg;tidak;kedua koordinat sah;;
34;24.7;20-30 m;SAROLANGUN-BATANG ASAI-BATU EMPANG-008;SAROLANGUN-BATANG ASAI-BATU EMPANG-009;SAROLANGUN;BATANG ASAI;BATU EMPANG;102.234994;-2.62745;102.234956;-2.62723;28/02/2026;28/02/2026;Gubernur Jambi;SAROLANGUN-BATANG ASAI-BATU EMPANG-008.jpg;SAROLANGUN-BATANG ASAI-BATU EMPANG-009.jpg;tidak;kedua koordinat sah;;
35;24.7;20-30 m;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-003;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-006;KOTA JAMBI;DANAU TELUK;TANJUNG RADEN;103.58645;-1.5854;103.58649;-1.58518;13/05/2026;13/05/2026;Gubernur Jambi;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-003.jpg;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-006.jpg;tidak;kedua koordinat sah;;
36;24.8;20-30 m;SAROLANGUN-BATANG ASAI-BATU EMPANG-004;SAROLANGUN-BATANG ASAI-BATU EMPANG-005;SAROLANGUN;BATANG ASAI;BATU EMPANG;102.235267;-2.62805;102.23543;-2.627897;28/02/2026;28/02/2026;Gubernur Jambi;SAROLANGUN-BATANG ASAI-BATU EMPANG-004.jpg;SAROLANGUN-BATANG ASAI-BATU EMPANG-005.jpg;tidak;salah satu menunggu ukur ulang;;
37;24.8;20-30 m;SAROLANGUN-BATANG ASAI-BATU EMPANG-004;SAROLANGUN-BATANG ASAI-BATU EMPANG-006;SAROLANGUN;BATANG ASAI;BATU EMPANG;102.235267;-2.62805;102.23543;-2.627897;28/02/2026;28/02/2026;Gubernur Jambi;SAROLANGUN-BATANG ASAI-BATU EMPANG-004.jpg;SAROLANGUN-BATANG ASAI-BATU EMPANG-006.jpg;tidak;kedua koordinat sah;;
38;27.1;20-30 m;KOTA JAMBI-JAMBI TIMUR-KASANG JAYA-004;KOTA JAMBI-JAMBI TIMUR-KASANG JAYA-006;KOTA JAMBI;JAMBI TIMUR;KASANG JAYA;103.63023;-1.58752;103.63046;-1.5876;13/05/2026;13/05/2026;Putra Absor Hasibuan, S.H.;KOTA JAMBI-JAMBI TIMUR-KASANG JAYA-004.jpg;KOTA JAMBI-JAMBI TIMUR-KASANG JAYA-006.jpg;tidak;kedua koordinat sah;;
39;27.4;20-30 m;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-001;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-013;KOTA JAMBI;DANAU TELUK;TANJUNG RADEN;103.58653;-1.58544;103.586622;-1.58521;13/05/2026;26/05/2026;Gubernur Jambi;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-001.jpg;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-013.jpg;tidak;kedua koordinat sah;;
40;28.3;20-30 m;KERINCI-GUNUNG KERINCI-SIULAK DERAS MUDIK-007;KERINCI-GUNUNG KERINCI-SIULAK DERAS MUDIK-008;KERINCI;GUNUNG KERINCI;SIULAK DERAS MUDIK;101.29836;-1.89444;101.29813;-1.89433;11/06/2026;11/06/2026;Arwiyanto, S.E.;KERINCI-GUNUNG KERINCI-SIULAK DERAS MUDIK-007.jpg;KERINCI-GUNUNG KERINCI-SIULAK DERAS MUDIK-008.jpg;tidak;kedua koordinat sah;;
41;28.4;20-30 m;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-003;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-013;KOTA JAMBI;DANAU TELUK;TANJUNG RADEN;103.58645;-1.5854;103.586622;-1.58521;13/05/2026;26/05/2026;Gubernur Jambi;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-003.jpg;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-013.jpg;tidak;kedua koordinat sah;;
42;28.8;20-30 m;TEBO-MUARA TABIR-EMBACANG GEDANG-004;TEBO-MUARA TABIR-EMBACANG GEDANG-005;TEBO;MUARA TABIR;EMBACANG GEDANG;102.51929;-1.6499;102.519337;-1.650156;03/06/2026;03/06/2026;Mazlan, S.Kom., M.E.;TEBO-MUARA TABIR-EMBACANG GEDANG-004.jpg;TEBO-MUARA TABIR-EMBACANG GEDANG-005.jpg;tidak;kedua koordinat sah;;
43;29.1;20-30 m;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-001;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-006;KOTA JAMBI;DANAU TELUK;TANJUNG RADEN;103.58653;-1.58544;103.58649;-1.58518;13/05/2026;13/05/2026;Gubernur Jambi;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-001.jpg;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-006.jpg;tidak;kedua koordinat sah;;
44;30.0;30-50 m;KOTA JAMBI-JAMBI TIMUR-TANJUNG PINANG-005;KOTA JAMBI-JAMBI TIMUR-TANJUNG PINANG-007;KOTA JAMBI;JAMBI TIMUR;TANJUNG PINANG;103.63077;-1.59057;103.63074;-1.5903;13/05/2026;13/05/2026;Putra Absor Hasibuan, S.H.;KOTA JAMBI-JAMBI TIMUR-TANJUNG PINANG-005.jpg;KOTA JAMBI-JAMBI TIMUR-TANJUNG PINANG-007.jpg;tidak;kedua koordinat sah;;
45;30.1;30-50 m;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-001;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-008;KOTA JAMBI;DANAU TELUK;TANJUNG RADEN;103.58653;-1.58544;103.586269;-1.58551;13/05/2026;26/05/2026;Gubernur Jambi;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-001.jpg;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-008.jpg;tidak;kedua koordinat sah;;
46;30.4;30-50 m;TANJUNG JABUNG BARAT-SENYERANG-SUNGAI KAYU ARO-005;TANJUNG JABUNG BARAT-SENYERANG-SUNGAI KAYU ARO-004;TANJUNG JABUNG BARAT;SENYERANG;SUNGAI KAYU ARO;103.13523;-0.75725;103.13518;-0.75752;04/03/2026;04/03/2026;Ahmad Jahfar;TANJUNG JABUNG BARAT-SENYERANG-SUNGAI KAYU ARO-005.jpg;TANJUNG JABUNG BARAT-SENYERANG-SUNGAI KAYU ARO-004.jpg;tidak;kedua koordinat sah;;
47;31.0;30-50 m;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-002;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-005;KOTA JAMBI;DANAU TELUK;TANJUNG RADEN;103.58651;-1.5849;103.58649;-1.58462;13/05/2026;13/05/2026;Gubernur Jambi;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-002.jpg;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-005.jpg;tidak;kedua koordinat sah;;
48;31.0;30-50 m;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-002;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-006;KOTA JAMBI;DANAU TELUK;TANJUNG RADEN;103.58651;-1.5849;103.58649;-1.58518;13/05/2026;13/05/2026;Gubernur Jambi;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-002.jpg;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-006.jpg;tidak;kedua koordinat sah;;
49;31.9;30-50 m;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-003;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-007;KOTA JAMBI;DANAU TELUK;TANJUNG RADEN;103.58645;-1.5854;103.586325;-1.58514;13/05/2026;26/05/2026;Gubernur Jambi;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-003.jpg;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-007.jpg;tidak;kedua koordinat sah;;
50;32.8;30-50 m;SAROLANGUN-BATANG ASAI-BATU EMPANG-003;SAROLANGUN-BATANG ASAI-BATU EMPANG-008;SAROLANGUN;BATANG ASAI;BATU EMPANG;102.234715;-2.627546;102.234994;-2.62745;28/02/2026;28/02/2026;Gubernur Jambi;SAROLANGUN-BATANG ASAI-BATU EMPANG-003.jpg;SAROLANGUN-BATANG ASAI-BATU EMPANG-008.jpg;tidak;kedua koordinat sah;;
51;33.2;30-50 m;KOTA JAMBI-JAMBI TIMUR-KASANG-002;KOTA JAMBI-JAMBI TIMUR-KASANG-001;KOTA JAMBI;JAMBI TIMUR;KASANG;103.62037;-1.58622;103.62039;-1.58652;23/02/2026;23/02/2026;Yuli Yuliarti;KOTA JAMBI-JAMBI TIMUR-KASANG-002.jpg;KOTA JAMBI-JAMBI TIMUR-KASANG-001.jpg;tidak;kedua koordinat sah;;
